iddetcessnr,cdecategadsacem,numcatal,numpers,gestnr,datdbtvld,datfinvld,idctr,idpcttypdrt
939799,SE,154552,202630,0,,,369599,2384334
939800,SE,154552,202630,0,,,369599,2384335
948583,SE,154552,202630,0,,,372774,2404402
948584,SE,154552,202630,0,,,372774,2404403
948585,SE,154552,202630,0,,,372774,2404404
961481,SE,154552,202630,0,,,377440,2432978
961482,SE,154552,202630,0,,,377440,2432979
961483,SE,154552,202630,0,,,377440,2432980
964985,SE,154552,202630,0,,,378788,2442547
964986,SE,154552,202630,0,,,378788,2442548
964987,SE,154552,202630,0,,,378788,2442549
976884,SE,154552,202630,0,,,382881,2469058
976885,SE,154552,202630,0,,,382881,2469059
976886,SE,154552,202630,0,,,382881,2469060
977678,SE,154552,202630,0,,,383193,2471351
977679,SE,154552,202630,0,,,383193,2471352
977680,SE,154552,202630,0,,,383193,2471353
995722,SE,154552,202630,0,,,389587,2515744
995723,SE,154552,202630,0,,,389587,2515745
995724,SE,154552,202630,0,,,389587,2515746
999699,SE,154552,202630,0,,,390986,2528493
999700,SE,154552,202630,0,,,390986,2528494
999701,SE,154552,202630,0,,,390986,2528495
1010540,SE,154552,202630,0,,,394753,2558606
1010541,SE,154552,202630,0,,,394753,2558607
1010542,SE,154552,202630,0,,,394753,2558608
1012251,SE,154552,202630,0,,,395390,2562734
1012252,SE,154552,202630,0,,,395390,2562735
1012253,SE,154552,202630,0,,,395390,2562736
1013483,SE,154552,202630,0,,,395814,2565535
1013484,SE,154552,202630,0,,,395814,2565536
1013485,SE,154552,202630,0,,,395814,2565537
1016091,SE,154552,202630,0,,,396730,2571222
1016092,SE,154552,202630,0,,,396730,2571223
1016093,SE,154552,202630,0,,,396730,2571224
1017085,SE,154552,202630,0,,,397075,2573381
1017086,SE,154552,202630,0,,,397075,2573382
1017087,SE,154552,202630,0,,,397075,2573383
21606,SE,3893,31914,0,,,7255,200603
21607,SE,3893,31914,0,,,7255,200605
21609,SE,3893,31914,0,,,7255,200607
339035,SE,3893,31914,0,,,151170,948889
339036,SE,3893,31914,0,,,151170,948890
339037,SE,3893,31914,0,,,151170,948891
919603,SE,3893,31914,0,,,362394,2301123
919604,SE,3893,31914,0,,,362394,2301124
919605,SE,3893,31914,0,,,362394,2301125
925433,SE,3893,31914,0,,,364464,2313602
925434,SE,3893,31914,0,,,364464,2313603
925435,SE,3893,31914,0,,,364464,2313604
926906,SE,3893,31914,0,,,364983,2317155
926907,SE,3893,31914,0,,,364983,2317156
926908,SE,3893,31914,0,,,364983,2317157
929458,SE,3893,31914,0,,,365919,2324896
929459,SE,3893,31914,0,,,365919,2324897
929460,SE,3893,31914,0,,,365919,2324898
940580,SE,3893,31914,0,,,369880,2386318
940581,SE,3893,31914,0,,,369880,2386319
940582,SE,3893,31914,0,,,369880,2386320
941675,SE,3893,31914,0,,,370272,2388808
941676,SE,3893,31914,0,,,370272,2388809
941677,SE,3893,31914,0,,,370272,2388810
944476,SE,3893,31914,0,,,371279,2395305
944477,SE,3893,31914,0,,,371279,2395306
944478,SE,3893,31914,0,,,371279,2395307
949869,SE,3893,31914,0,,,373256,2407344
949870,SE,3893,31914,0,,,373256,2407345
949871,SE,3893,31914,0,,,373256,2407346
955237,SE,3893,31914,0,,,375146,2418751
955238,SE,3893,31914,0,,,375146,2418752
955239,SE,3893,31914,0,,,375146,2418753
956639,SE,3893,31914,0,,,375646,2421780
956640,SE,3893,31914,0,,,375646,2421781
956641,SE,3893,31914,0,,,375646,2421782
957138,SE,3893,31914,0,,,375836,2423160
957139,SE,3893,31914,0,,,375836,2423161
957140,SE,3893,31914,0,,,375836,2423162
974188,SE,3893,31914,0,,,381896,2462118
974189,SE,3893,31914,0,,,381896,2462119
974190,SE,3893,31914,0,,,381896,2462120
975015,SE,3893,31914,0,,,382178,2463846
975016,SE,3893,31914,0,,,382178,2463847
975017,SE,3893,31914,0,,,382178,2463848
1006023,SE,3893,31914,0,,,393154,2548559
1006024,SE,3893,31914,0,,,393154,2548560
1006025,SE,3893,31914,0,,,393154,2548561
1006428,SE,3893,31914,0,,,393303,2549439
1006429,SE,3893,31914,0,,,393303,2549440
1006430,SE,3893,31914,0,,,393303,2549441
1011232,SE,3893,31914,0,,,395037,2560258
1011233,SE,3893,31914,0,,,395037,2560259
1011234,SE,3893,31914,0,,,395037,2560260
1011951,SE,3893,31914,0,,,395284,2561893
1011952,SE,3893,31914,0,,,395284,2561894
1011953,SE,3893,31914,0,,,395284,2561895
1016094,SE,3893,31914,0,,,396731,2571228
1016095,SE,3893,31914,0,,,396731,2571229
1016096,SE,3893,31914,0,,,396731,2571230
226915,E,203085,67200,0,,,80413,629397
1057718,SE,192656,514547,0,,,411169,2736727
1057719,SE,192656,514547,0,,,411169,2736728
1057720,SE,192656,514547,0,,,411169,2736729
1393519,SE,536921,541247,0,,,515733,3797567
1393520,SE,536921,541247,0,,,515733,3797568
1393521,SE,536921,541247,0,,,515733,3797569
