iddetcessnr,cdecategadsacem,numcatal,numpers,gestnr,datdbtvld,datfinvld,idctr,idpcttypdrt
301732,SE,207169,99440,0,,,138713,872455
301735,SE,207169,99440,0,,,138713,872457
301737,SE,207169,99440,0,,,138713,872460
414822,SE,207059,99440,0,,,177288,1133129
414823,SE,207059,99440,0,,,177288,1133130
414824,SE,207059,99440,0,,,177288,1133131
918962,SE,207169,99440,0,,,362167,2299620
918963,SE,207169,99440,0,,,362167,2299621
918964,SE,207169,99440,0,,,362167,2299622
919242,SE,207169,99440,0,,,362267,2300331
919243,SE,207169,99440,0,,,362267,2300332
919244,SE,207169,99440,0,,,362267,2300333
932582,SE,207169,99440,0,,,367027,2333785
932583,SE,207169,99440,0,,,367027,2333786
932584,SE,207169,99440,0,,,367027,2333787
987343,SE,311023,427757,0,,,386534,2494836
987344,SE,311023,427757,0,,,386534,2494837
987345,SE,311023,427757,0,,,386534,2494838
995462,SE,207169,99440,0,,,389467,2514874
995463,SE,207169,99440,0,,,389467,2514875
995464,SE,207169,99440,0,,,389467,2514876
