ideltter,idtercmplx,cdepaysiso4n,incl,ordaff,ord_list
114721663,111882533,56,1,0,4.0
168094131,164875894,484,0,3,3.0
110339162,107510038,442,1,0,3.0
36458996,33846882,504,0,0,7.0
19107673,17252801,2136,1,0,1.0
116244026,113402245,442,1,0,3.0
153890186,150839949,196,0,14,14.0
172466892,169202149,124,1,1,1.0
115257302,112417523,442,1,0,3.0
114012874,111176447,442,1,0,3.0
107285474,104461446,380,0,0,2.0
95856965,93056953,56,1,0,4.0
103842825,101034259,380,0,0,2.0
36458997,33846882,12,0,0,8.0
100762747,97957251,442,1,0,3.0
108225807,105399425,2136,1,0,1.0
112710654,109880224,380,0,0,2.0
106283684,103465210,3017,0,3,3.0
153890178,150839949,52,0,6,6.0
110339163,107510038,56,1,0,4.0
153686313,150636492,166,0,26,26.0
103414336,100606204,2136,1,0,1.0
110853667,108024264,3017,1,0,2.0
153890181,150839949,662,0,9,9.0
99436794,96632498,2136,1,0,1.0
92544004,89748747,380,0,0,2.0
101671776,98864654,2136,1,0,1.0
99419166,96615271,3041,1,0,1.0
29861591,27276404,2121,1,0,1.0
26897627,24395985,380,0,0,2.0
153890202,150839949,2115,0,30,30.0
92539850,89744756,2136,1,0,1.0
35567305,32964127,2136,1,0,1.0
100771999,97966076,2136,1,0,1.0
101676137,98868960,2136,1,0,1.0
133679794,130789156,348,1,6,6.0
106283682,103465210,2136,1,1,1.0
112234685,109404580,2136,1,0,1.0
110339161,107510038,3017,1,0,2.0
30756042,28159174,3041,1,0,1.0
116678103,113835939,442,1,0,3.0
94437200,91638794,380,0,0,2.0
94917632,92118958,380,0,0,2.0
107285473,104461446,2136,1,0,1.0
153686289,150636492,84,0,2,2.0
35636400,33032193,3017,1,0,2.0
93965707,91168156,3017,0,0,3.0
31521598,28923116,3041,1,0,1.0
112683299,109852910,2136,1,0,1.0
153890177,150839949,28,0,5,5.0
93421851,90625357,2136,1,0,1.0
39045430,36415257,442,1,0,3.0
106170145,103357383,2136,1,0,1.0
93421852,90625357,380,0,0,2.0
114721660,111882533,3041,1,0,1.0
28600018,26087390,12,0,0,8.0
168094132,164875894,410,0,4,4.0
103833944,101025459,380,0,0,2.0
108727381,105900618,2136,1,0,1.0
93436753,90640114,2136,1,0,1.0
94419648,91621465,380,0,0,2.0
106177156,103364088,2136,1,0,1.0
169917525,166672673,2136,1,1,1.0
115187353,112347985,442,1,0,3.0
96293994,93493792,380,0,0,2.0
14279797,13072511,2136,1,0,1.0
105717476,102905673,3017,1,0,2.0
106233931,103420781,2136,1,0,1.0
108812577,105985699,2136,1,0,1.0
115264597,112424363,3041,1,0,1.0
28600014,26087390,818,0,0,4.0
103833808,101025388,2136,1,0,1.0
14189894,13020245,3041,1,0,3.0
91269794,88477249,2136,1,0,1.0
39045431,36415257,56,1,0,4.0
30736911,28140152,2136,1,0,1.0
116244027,113402245,56,1,0,4.0
153890175,150839949,212,0,3,3.0
103406333,100598399,442,1,0,3.0
92967674,90171959,3017,1,0,2.0
98990250,96186668,56,1,0,4.0
153890195,150839949,776,0,23,23.0
93408170,90612054,442,1,0,3.0
106735877,103912435,56,1,0,4.0
153686295,150636492,659,0,8,8.0
36458990,33846882,442,1,0,2.0
133679800,130789156,8,1,12,12.0
36458995,33846882,760,0,0,6.0
103406332,100598399,3017,1,0,2.0
91269795,88477249,380,0,0,2.0
28600011,26087390,3017,1,0,1.0
153890188,150839949,548,0,16,16.0
111762850,108933156,380,0,0,2.0
92544003,89748747,2136,1,0,1.0
110853669,108024264,56,1,0,4.0
73390521,70657991,2136,1,0,1.0
155665615,152593202,3017,1,2,2.0
103833728,101025344,3041,1,0,1.0
153890194,150839949,612,0,22,22.0
153686296,150636492,662,0,9,9.0
14314988,13096600,528,1,0,3.0
103833729,101025344,3017,1,0,2.0
117152841,114310128,2136,1,0,1.0
93959108,91161618,380,0,0,2.0
100753403,97948005,56,1,0,4.0
113831620,110997347,2136,1,0,1.0
35636402,33032193,56,1,0,4.0
109377365,106550083,3017,1,0,2.0
28600015,26087390,788,0,0,5.0
133679792,130789156,703,1,4,4.0
133679807,130789156,442,1,19,19.0
153686316,150636492,162,0,29,29.0
153890199,150839949,184,0,27,27.0
71556749,68828535,2136,1,0,1.0
101227573,98421071,2136,1,0,1.0
35567308,32964127,124,0,0,4.0
93408186,90612062,2136,1,0,1.0
153686291,150636492,388,0,4,4.0
39045428,36415257,3041,1,0,1.0
153890185,150839949,328,0,13,13.0
91260593,88469286,2136,1,0,1.0
116210212,113368544,2136,1,0,1.0
109886306,107058042,380,0,0,2.0
133679793,130789156,705,1,5,5.0
110339160,107510038,3041,1,0,1.0
133679818,130789156,233,1,30,30.0
153890179,150839949,308,0,7,7.0
102101566,99294359,2136,1,0,1.0
93408171,90612054,56,1,0,4.0
14258061,13059447,2136,1,0,1.0
133679806,130789156,528,1,18,18.0
106207791,103394593,3017,0,0,2.0
117597625,114754131,2136,1,0,1.0
98990260,96186675,2136,1,0,1.0
155665616,152593202,442,1,3,3.0
153890174,150839949,84,0,2,2.0
41661092,38998733,3017,0,0,3.0
114721661,111882533,3017,1,0,2.0
100762746,97957251,3017,1,0,2.0
92129808,89335329,442,1,0,3.0
153890193,150839949,798,0,21,21.0
